product_id,product_name,sentiment_category
1.0,"Airfryer Pişirme Kağıdı, Fritöz Yağlı Kağıdı, Yanmaz Kağıt 50 Adet...",iyi
2.0,"Duracell Alkalin AA Kalem Pil, 1,5 V LR6/MN1500, 10’lu Paket",idare eder
3.0,Xiaomi Mi Band 6 Akıllı Bileklik,idare eder
4.0,"HP Smart Tank 519 Wireless All-in-One, Tarama, Kopyalama, Wi-Fi,...",iyi
5.0,"Copier Bond K380A-4 A4 Fotokopi Kağıdı, 210x297x500, 500 Yaprak",iyi
6.0,Maybelline New York Lifter Gloss Nemlendirici Dudak Parlatıcısı- 009...,idare eder
7.0,Xiaomi Mi Box S Multimedya 4K Ultra Hd (2nd Gen),idare eder
8.0,"Rotring Tikky Versatil, Uçlu Kalem 0.7 mm, Açık Mavi",idare eder
9.0,Samsung Ms23J5133At/Tr Solo Mikrodalga,iyi
10.0,"Philips BG1024/15 Vücut Bakım Seti, Islak/Kuru",iyi
11.0,Moliendo House Blend Filtre Kahve (Öğütülmüş Filtre Kahve) 250 g,idare eder
12.0,Huawei Freebuds SE 2 Kulaklık - Beyaz,idare eder
13.0,BIC Kids Kid Couleur Ultra Yıkanabilir Keçeli Boya Kalemi 12 Renk,idare eder
14.0,Everest SM-BT11 Usb Siyah 2in1 Bluetooth ve 2.4GHz Şarj Edilebilir...,idare eder
15.0,MSI GG CLUTCH GM08 GAMING MOUSE 4.200 DPI PIXART PAW3519 OPTIK SENSOR...,idare eder
16.0,"Stanley Klasik Trigger-Action Seyahat Bardağı, 0.47 L, Yeşil",idare eder
17.0,Philips XC8349/01 SpeedPro Max Aqua Plus 8000 Serisi Kablosuz Dik...,iyi
18.0,Spigen 27W Apple Hızlı Şarj & Samsung PPS Destekli USB-C Güç...,iyi
19.0,Taktikal Led USB ŞARJLI Ultra Güçlü Mini Boy El Feneri [Enerji Sınıfı...,idare eder
20.0,Araç İçi Park Telefon Numarası Fosforlu Numaratör Oto Cam Kartı,idare eder
21.0,"Xiaomi Mi TV Stick 1080p Android TV Media Player, Siyah",iyi
22.0,Narpump Damacana Pompası,iyi
23.0,Omo Toz Çamaşır Deterjanı Active Renkliler İçin 7.5 kg 50 Yıkama,iyi
24.0,Crocs Crocband Unisex Yetişkin Black Terlik 43-44,idare eder
25.0,Kiko Milano Dudak Parlatıcısı - 3D Hydra Lipgloss 17 Pearly Mauve 61...,idare eder
26.0,Selpak Havlu Kağıt 12'Li 1 Paket (1 x 12 Adet),idare eder
27.0,"Arzum Ar5063 Volume Pro Hava Uflemeli Sac Şekillendirici, Seramik,...",idare eder
28.0,"Rotring Tikky Versatil, Uçlu Kalem 0.7 mm, Açık Mavi",idare eder
29.0,Apple AirPods (2.Nesil) ve Kablolu Şarj Kutusu,idare eder
30.0,"Xiaomi DVB4235GL Mi Wifi Pro Sinyal Yakınlaştırıcı Güçlendirici, 300...",iyi
31.0,"Philips EP2220/10 Tam Otomatik Espresso Makinası, 1.8 L Kapasite,...",idare eder
32.0,"Philips EP5443/70 Tam Otomatik Espresso Makinesi, LatteGo Süt Sistemi,...",idare eder
33.0,"Paugge Ultra Sertifikalı Hdmi 2.1 Kablo - 8K 60Hz, 4K 120Hz, 4K 60Hz,...",idare eder
34.0,"Singer metal, hızlı el dikiş makinesi",iyi
35.0,"Xiaomi Redmi Note 9 128 GB Akıllı Telefon, Gri (Xiaomi Türkiye...",idare eder
36.0,"Logitech M220 Silent Kablosuz Fare, USB Alıcılı 2,4 GHz, 1000 DPI...",idare eder
37.0,"Philips 60W Led Ampul, 6500K Beyaz Işık, E27 Normal Duy",idare eder
38.0,Veet Men Tüy Dökücü Krem Erkeklere Özel Normal Ciltler 200 ml,idare eder
39.0,Maybelline New York Lash Sensational Sky High Maskara,idare eder
40.0,Maybelline New York Super Stay Vinyl Ink Uzun Süre Kalıcı Likit Parlak...,kötü
41.0,Vichy Dercos Anti-Dandruff Kepek Karşıtı Bakım Şampuanı - Normal ve...,idare eder
42.0,"Opalescence Beyazlatıcı Cool Mint Diş Macunu, 133 gr, 100 ml",iyi
43.0,"TP-Link UB500, Bluetooth 5.0 Mini USB Adaptör, Siyah",idare eder
44.0,Rexona Men Clinical Protection Stick Deodorant Active Fresh 45 ml,
45.0,Apple iPhone 11 (128 GB) - Beyaz,
46.0,"Stanley Klasik Vakumlu Termos 1,9 L, Yeşil",
47.0,Rexona Clinical Protection Kadın Stick Deodorant Shower Clean 45 ml,
48.0,Kahve Dünyası Filtre Kahve 250gr,
49.0,"Vileda Turbo Pedallı Temizlik Seti, Siyah",
50.0,Maybelline New York Cheek Heat Likit Allık - 15 Nude Burn,
