product_id,sentiment_category
1.0,çok iyi
2.0,idare eder
3.0,iyi
4.0,iyi
5.0,iyi
6.0,çok iyi
7.0,çok iyi
8.0,iyi
9.0,çok iyi
10.0,iyi
11.0,çok iyi
12.0,çok iyi
13.0,çok iyi
14.0,iyi
15.0,iyi
16.0,iyi
17.0,iyi
18.0,iyi
19.0,iyi
20.0,çok iyi
21.0,iyi
22.0,idare eder
23.0,idare eder
24.0,iyi
25.0,çok iyi
26.0,çok iyi
27.0,çok iyi
28.0,iyi
29.0,iyi
30.0,iyi
31.0,iyi
32.0,iyi
33.0,çok iyi
34.0,iyi
35.0,çok iyi
36.0,iyi
37.0,çok iyi
38.0,kötü
39.0,iyi
40.0,çok iyi
41.0,idare eder
42.0,iyi
43.0,iyi
44.0,kötü
45.0,idare eder
46.0,iyi
47.0,kötü
48.0,iyi
49.0,çok iyi
50.0,iyi
