product_id,sentiment_category
1,idare eder
2,idare eder
3,çok iyi
4,iyi
5,kötü
6,iyi
7,iyi
8,idare eder
9,iyi
10,çok iyi
11,çok iyi
12,çok iyi
13,iyi
14,iyi
15,çok iyi
16,iyi
17,idare eder
18,çok iyi
19,çok iyi
20,iyi
21,iyi
22,idare eder
23,idare eder
24,kötü
25,çok iyi
26,idare eder
27,iyi
28,iyi
29,iyi
30,çok iyi
31,iyi
32,idare eder
33,iyi
34,iyi
35,iyi
36,idare eder
37,idare eder
38,idare eder
39,idare eder
40,çok iyi
41,idare eder
42,idare eder
43,idare eder
44,idare eder
45,idare eder
46,iyi
47,idare eder
48,iyi
49,iyi
50,idare eder
