product_id,product_name,sentiment_category
1.0,"Airfryer Pişirme Kağıdı, Fritöz Yağlı Kağıdı, Yanmaz Kağıt 50 Adet...",çok iyi
2.0,"Duracell Alkalin AA Kalem Pil, 1,5 V LR6/MN1500, 10’lu Paket",idare eder
3.0,Xiaomi Mi Band 6 Akıllı Bileklik,iyi
4.0,"HP Smart Tank 519 Wireless All-in-One, Tarama, Kopyalama, Wi-Fi,...",iyi
5.0,"Copier Bond K380A-4 A4 Fotokopi Kağıdı, 210x297x500, 500 Yaprak",iyi
6.0,Maybelline New York Lifter Gloss Nemlendirici Dudak Parlatıcısı- 009...,çok iyi
7.0,Xiaomi Mi Box S Multimedya 4K Ultra Hd (2nd Gen),çok iyi
8.0,"Rotring Tikky Versatil, Uçlu Kalem 0.7 mm, Açık Mavi",iyi
9.0,Samsung Ms23J5133At/Tr Solo Mikrodalga,çok iyi
10.0,"Philips BG1024/15 Vücut Bakım Seti, Islak/Kuru",iyi
11.0,Moliendo House Blend Filtre Kahve (Öğütülmüş Filtre Kahve) 250 g,çok iyi
12.0,Huawei Freebuds SE 2 Kulaklık - Beyaz,çok iyi
13.0,BIC Kids Kid Couleur Ultra Yıkanabilir Keçeli Boya Kalemi 12 Renk,çok iyi
14.0,Everest SM-BT11 Usb Siyah 2in1 Bluetooth ve 2.4GHz Şarj Edilebilir...,iyi
15.0,MSI GG CLUTCH GM08 GAMING MOUSE 4.200 DPI PIXART PAW3519 OPTIK SENSOR...,iyi
16.0,"Stanley Klasik Trigger-Action Seyahat Bardağı, 0.47 L, Yeşil",iyi
17.0,Philips XC8349/01 SpeedPro Max Aqua Plus 8000 Serisi Kablosuz Dik...,iyi
18.0,Spigen 27W Apple Hızlı Şarj & Samsung PPS Destekli USB-C Güç...,iyi
19.0,Taktikal Led USB ŞARJLI Ultra Güçlü Mini Boy El Feneri [Enerji Sınıfı...,iyi
20.0,Araç İçi Park Telefon Numarası Fosforlu Numaratör Oto Cam Kartı,çok iyi
21.0,"Xiaomi Mi TV Stick 1080p Android TV Media Player, Siyah",iyi
22.0,Narpump Damacana Pompası,idare eder
23.0,Omo Toz Çamaşır Deterjanı Active Renkliler İçin 7.5 kg 50 Yıkama,idare eder
24.0,Crocs Crocband Unisex Yetişkin Black Terlik 43-44,iyi
25.0,Kiko Milano Dudak Parlatıcısı - 3D Hydra Lipgloss 17 Pearly Mauve 61...,çok iyi
26.0,Selpak Havlu Kağıt 12'Li 1 Paket (1 x 12 Adet),çok iyi
27.0,"Arzum Ar5063 Volume Pro Hava Uflemeli Sac Şekillendirici, Seramik,...",çok iyi
28.0,"Rotring Tikky Versatil, Uçlu Kalem 0.7 mm, Açık Mavi",iyi
29.0,Apple AirPods (2.Nesil) ve Kablolu Şarj Kutusu,iyi
30.0,"Xiaomi DVB4235GL Mi Wifi Pro Sinyal Yakınlaştırıcı Güçlendirici, 300...",iyi
31.0,"Philips EP2220/10 Tam Otomatik Espresso Makinası, 1.8 L Kapasite,...",iyi
32.0,"Philips EP5443/70 Tam Otomatik Espresso Makinesi, LatteGo Süt Sistemi,...",iyi
33.0,"Paugge Ultra Sertifikalı Hdmi 2.1 Kablo - 8K 60Hz, 4K 120Hz, 4K 60Hz,...",çok iyi
34.0,"Singer metal, hızlı el dikiş makinesi",iyi
35.0,"Xiaomi Redmi Note 9 128 GB Akıllı Telefon, Gri (Xiaomi Türkiye...",çok iyi
36.0,"Logitech M220 Silent Kablosuz Fare, USB Alıcılı 2,4 GHz, 1000 DPI...",iyi
37.0,"Philips 60W Led Ampul, 6500K Beyaz Işık, E27 Normal Duy",çok iyi
38.0,Veet Men Tüy Dökücü Krem Erkeklere Özel Normal Ciltler 200 ml,kötü
39.0,Maybelline New York Lash Sensational Sky High Maskara,iyi
40.0,Maybelline New York Super Stay Vinyl Ink Uzun Süre Kalıcı Likit Parlak...,çok iyi
41.0,Vichy Dercos Anti-Dandruff Kepek Karşıtı Bakım Şampuanı - Normal ve...,idare eder
42.0,"Opalescence Beyazlatıcı Cool Mint Diş Macunu, 133 gr, 100 ml",iyi
43.0,"TP-Link UB500, Bluetooth 5.0 Mini USB Adaptör, Siyah",iyi
44.0,Rexona Men Clinical Protection Stick Deodorant Active Fresh 45 ml,kötü
45.0,Apple iPhone 11 (128 GB) - Beyaz,idare eder
46.0,"Stanley Klasik Vakumlu Termos 1,9 L, Yeşil",iyi
47.0,Rexona Clinical Protection Kadın Stick Deodorant Shower Clean 45 ml,kötü
48.0,Kahve Dünyası Filtre Kahve 250gr,iyi
49.0,"Vileda Turbo Pedallı Temizlik Seti, Siyah",çok iyi
50.0,Maybelline New York Cheek Heat Likit Allık - 15 Nude Burn,iyi
