product_id,product_name,sentiment_category
1,Says GO Fritöz Pişirme Kağıdı Yorumları,idare eder
2,Duracell Basic Alkalin AA Kalem Yorumları,idare eder
3,Xiaomi Mi Band 6 Akıllı Bileklik Yorumları,çok iyi
4,HP Smart Tank 519 3YW73A Wi-Fi + Yorumları,iyi
5,Ve-Ge Copier Bond A4 80 g/m² 2.500 Yorumları,kötü
6,Maybelline New York Lifter Gloss Yorumları,iyi
7,Xiaomi Mi Box S 4K Android TV Box (2. Yorumları,iyi
8,Rotring Tikky Okul Seti 0.7 mm Bordo Yorumları,idare eder
9,Samsung MS23J5133AT/TR Mikrodalga Yorumları,iyi
10,Philips 1000 Serisi Erkek Vücut Bakım Yorumları,çok iyi
11,Moliendo Finest Coffee Moliendo House Yorumları,çok iyi
12,Huawei Freebuds Se 2 - Beyaz Yorumları,çok iyi
13,Bic Kids Couleur (Ultra Yıkanabilir) Yorumları,iyi
14,Everest SM-BT11 Ince Rgb Kablosuz Yorumları,iyi
15,MSI GG GM08 Clutch Optik Oyuncu Mouse Yorumları,çok iyi
16,Stanley Klasik Trigger - Action Yorumları,iyi
17,Philips XC8349/01 Aqua Plus 25.2 V Yorumları,idare eder
18,Spigen 27W USB-C Güç Adaptörü (Akım Yorumları,çok iyi
19,Taktikal LED USB Şarjlı Ultra Güçlü Yorumları,çok iyi
20,Universal Araç Içi Park Telefon Yorumları,iyi
21,Xiaomi Mi TV Stick Full HD Dolby DTS Yorumları,iyi
22,Narpump Şarjlı Tek Motorlu Otomatik Yorumları,idare eder
23,Omo Active Toz Çamaşır Deterjanı Yorumları,idare eder
24,Crocs Crocband Unisex Terlik 11016 Yorumları,kötü
25,Kıko Nemlendirici Dudak Parlatıcısı - Yorumları,çok iyi
26,Selpak® Kağıt Havlu 12'li Yorumları,idare eder
27,Arzum AR5063 Volume Pro Hava Üflemeli Yorumları,iyi
28,Rotring Tikky Versatil Kalem 0.7 uç Yorumları,iyi
29,Apple AirPods 2. Nesil Kulaklık Yorumları,iyi
30,Xiaomi Mi Wifi Pro Sinyal Yorumları,çok iyi
31,Philips EP2220/10 Tam Otomatik Yorumları,iyi
32,Philips LatteGo EP5443/70 Tam Yorumları,idare eder
33,Paugge 2 Metre Ultra Sertifikalı Hdmi Yorumları,iyi
34,Singer El Dikiş Makinesi Yorumları,iyi
35,Xiaomi Redmi Note 10S 128 GB 8 GB Ram Yorumları,iyi
36,Logitech M220 Sessiz Kompakt Kablosuz Yorumları,idare eder
37,PHILIPS LED 8-60W AMPUL 6500K BEYAZ Yorumları,idare eder
38,Veet Men Erkeklere Özel Tüy Dökücü Yorumları,idare eder
39,Maybelline New York Maskara Lash Yorumları,idare eder
40,Maybelline New York Super Stay Vinyl Yorumları,çok iyi
41,Vichy Dercos Şampuan Normal/Yağlı ve Yorumları,idare eder
42,Opalescence Cool Mint Diş Macunu 100 Yorumları,idare eder
43,"TP-LINK UB500, Bluetooth 5.0 Mini USB Yorumları",idare eder
44,Rexona Men Clinical Protection Crem Yorumları,idare eder
45,iPhone 11 128 GB Yorumları,idare eder
46,Stanley Klasik Vakumlu Paslanmaz Yorumları,iyi
47,Rexona Clinical Protection Shower Yorumları,idare eder
48,Kahve Dünyası Filtre Kahve 250 gr Yorumları,iyi
49,Vileda Turbo Pedallı Temizlik Seti Yorumları,iyi
50,Maybelline Cheek Heat Likit Pembe Yorumları,idare eder
