product_id,comment_id,comment 
1,0,gayet kullanışlı hesaplı 
1,1,Airfryeri aktif olarak kullanıyorsunuz düşünmeden sipariş etmenizi tavsiye ederim 
1,2,güzel 
1,4,Fiyatı kalitesi güzel 
1,5,Alta sızdırmıyor Boyutu çok iyi 
1,6,xiaomi airfry tam uyuyor temiz tertipli iş çıkarıyor 
1,7,Kullanışlı 
1,8,345 litrelerle uyumlu 
1,9,kullandığım ürün 
1,10,Açıkçası uzun zamandır ürün almak istiyordum Airfryerin altını temizlemekle uğraşmak istemiyordum Araştırırken ürüne denk geldim yorumlarada kanıp sipariş verdim ürünle birlikte ilk pişirmem üstüne köfteleri koyup oldu pişirme sırasında gördüm kenarları Airfryerın yukardan sıcak hava vurması birlikte köftelerin üstüne katlanmış köfteler pişmiyordu birde 5 tane köfte koymuştum sadece Üründen mi memnun kalmadım 2 paket aldım birde sürekli kullanırım ürün belirttiği görevi getiremiyor Buraya yorum yazanlar neye göre yorum yazdı açıkçası anlayabilmiş değilim samimiyetimle söylüyorum ürünü kesinlikle tavsiye etmiyorum 
1,11,urun inanilmaz hayal kirikligi kofte patates hersey mi yapisir satici urunu icin kolay kolay olumsuz yazmam urun icin ozellikle yazmak istedim cok satana aldanmayin 
1,12,Bugüne dek amazondan alıp kalitesiz çıkan ürün yoktuHerseyin ilki varmışÜrün berbat Üzerinde pisirirseniz yapışıyor etiniz tavugunuz çöp oluyor 
1,13,Kullanışlı değil eğilip bükülüp yemek üstünü kapatıyor kullanışsız 
1,14,Ürün birbirine yapışmış halde geldi kenarında kesik Kağıt kalitesi çok kötü Tavsiye etmiyorum 
1,15,Bugün teslim aldım Denedim 195 santigrat ısıda kullandım Kağıt küçüldü hemde bagetler kağıda yapıştı Yapışıklığı ayırmak uğraşınca yırtıldı 
1,16,pişirseniz pişirin yapışıyor kesinlikle tavsiye etmem slikon pişirme aparatı aldım işimi gördü zincir marketlerde yağlı kağıtlar iyi boş yere para vermeyin 
1,17,Ürün açımdan hayal kırıklığı oldu Et marine ederek koyduğum besinler kağıda yapıştı 
1,18,Xxl ürün küçük 
1,19,Airfry üzerinden yaptığım yiyeceklerin kağıda yapışması problemi Hiçbir çözüm bulamadık 
1,20,Benzer özelliklere sahip düşük yüksek fiyatla listelenen pek çok ürün içerisinde kesinlikle en başarılısı Alt tarafı yağlı kağıt diyerek aldım ürünlerde pişirdiğim ürünlerin yağı hazneye dağıldı ürünler pişmedi 
1,21,Kullanım olarak kolay işlevsel parasını hak ettiğini düşünüyorum 
1,22,İş görüyor 
1,23,Çok pratik 
1,24,Başarılı guzel 
1,25,Xiaomi 35l tam oturdu 
1,26,pişirdiğiniz ürünleri sık karıştırmanız gerekiyor evet hazneyi çok temiz tutuyor ısı dolaşımını etkiliyor bence 
1,27,Cosori marka Airfreyde kullanmak aldım çok iyi oldu Altı pişmez zannettim sıkıntı yokTeeşekkürler Amazon 
1,28, ☺ 👍
1,29,Annem aldım memnun kaldı 
1,30,Ürün gayet kullanışlı marketten alınan yağlı kağıtlar yapıştırmama özelliği çok düşük Neredeyse ürünü yerinden yapıştırıyor Ürün geliştirilmeli 
1,31,En buyuk boy airfryer icin almistim 63L olan icin kucuk kaldi 55L icin tam olur muhtmeelen 
1,32,temiz kullanım sağlıyor ürünlerin kağıda değen kısmı üstü kızarmıyor pişmiyor Sürekli çevirmek gerekli 
1,33,Urun philips air frier xxl icin kucuk Tabani kucuk kaliyor alirken dikkat etmek lazim Belirtilmedigi icin almis bulundum Urun isinizi gorebilir kesinlikle buyuk boy olani alin 
1,34,Ürün iyi kullanışlı 
1,35,Evet ürün gerekeni yapıyor keşke kıvrımları biraz uzun olsaydı Soslu tavuk yaparken suyu aşağı aktı Sulu yemekler haricinde ürün gerekeni yapıyor Önemli Not Gıdasız pişirme kağıdı koyup çalıştırmayın kağıt içeride havalanarak ısı yayan bölgeye değip yanıyor 
1,36,İnce olması güzel alttan hava almasını sağlıyor az ürün koyulursa kağıt büzüşüp kapanıyor 
1,37,Yiyecekler havalı fritöze değmesin kirletmesin almıştım sefer sulu oluyor pişen ürünler Ürünün kargosunda kendisinde herhangi sorun yok 
1,38,Kargo hızlıydı Airfry kullananlar gerekli alabilirsiniz 
1,39,Cosori air fryer içine tam oturuyor Aletin içerisinde kap duracak arıyorsanız büyük boyuna bakın 
1,40,55 lt ideal ebat fena sayılmaz 
1,41,İş görüyor Sadece pişirilen şeylere hafiften yapışıyor 
1,42,Ölçüsü tam değil küçük geldi biraz ince 
