text	sentiment_category
alalı 4 ay olmuşken borusu kırıldı işin komik tarafı garanti kapsamına almıyor durumu philips para verip yeniden yaptırmamız gerekiyormuş araştırınca tek başımıza gelmediğini yüzlerce şikayet olduğunu gördüm kronik sorunu mevcut ürünlerin yaptığımız hatayı yapıp markaya güvenip satın almayın paranızı çöpe atmayın derim	0
hali kilim temizlemek çok kötü yapışıyor bırakmıyor aşırı ağır çok çabuk el yoruluyor	0
arkadaşlar cihazı 11.11.2023 tarihinde aldım kapanıyor hata kodu atmıyor yetkili serviste tamir gördü bozuldu tekrar tamire gidecek videoları isteyene atabilirim	0
alalı 2 hafta olmadı turbo başlık iç taraftan kırıldı tendonları kopmuş elin kolda sallandığı sallanıyor servisi kırılmaların garantisi olmadığını söyledi i̇ade işlemi başlattım amazona iade işlemini hemen gerçekleştirdiği teşekkür ederim	1
ürün philips kutusu içerisinde gönderildi az teslim aldım parçaları sağlam kutu bantlanmamış garanti belgesi çıkmadı satıcının ulaşmasını rica ediyorum	1
ürünü özellikle silme başlığı almamıza silme başlığı olmadan gönderildi	0
sessiz çekişi çok güzel başlıkları ihtiyaca uygun	1
ürün kaliteli fiyat performans çekim gücü yeterli	1
pratik ıslak ucu müthiş değil iş görüyor mühendislik harikası	0
3 +1 evi köşe bucak detaylı temizlikte şarjı bitmeden rahatlıkla süpürüyor çekim gücü çok yeterli kullanışı çok rahat halılarda abartıldığı zorlanma olmuyor ana sorun yaşamadım	1
kesinlikle tavsiye ederim harika çekim gücü kullanım kolaylığı uzun süre yeten şarj evi süpürmeye başlayınca biten alerji sayayım	1
urun 24 saat gelmeden sağlam sekilde elime ulasti 2haftadir kullanıyorum simdi yorum yazmak istedim urun kurusu hakediyor evimde kısa tuzlu kopeğim olduğu için yalnızca koltuk yatak vs supurmek için şey ararken almus bulundum turbo baslık harika yatakta koltukta kil thy kalmıyor tek negatif onu turbo basligi fircasi sac dolanınca hata veriyor temizlemesi kolay olduğu için hemen temizleyip devam edebiliyorsunuz yatagimi hergün supuruyorum gün 1 parmak toz dikiyor sikli kuru baslık harika i̇nsan tozu göre göre çekince bu rahatlama geliyor islak kuru arasında fark vardi kullanmam alois'ken i̇slam base'likli olan alayım dedim iyi alois'im supurup sileceğine inanmamistim halilari supurup geri kalan yerlere pek dokunmadım gerçekten supurup siliyor gerçekten çok basarili manevra kabiliyeti çok iyi bunun 2 oda 1 salon evi önce kuru i̇slam temizleyerek 2. kademede sudur'dum %40 sari turbo modda calistirdiginizda biraz gizli bitiyor sarı tek eleştirim tik air el degistire degistire supurunce halloluyor memnun kalacagimi dusunmemistim vila'da vs dolaplrin içine girdi 1 kapak deterjanla bunun ev mis oldu detrrjanin kokusunu veriyor iyi alois'im dyson siret moda oldu kadar pahalı özellikleri olin'ini almak isterseniz neredeyse 2 kati philips hiç ezmedi çok basarili urun pişman olmazsiniz tesekkurler	1
kullanışlı montajı kolay tavsiye ediyorum eşim gayet memnun	1
çok pratik evcil hayvan tüyleri temizliği almıştım evimin günlük süpürgesini çok rahat yapabiliyorum kesinlikle alinmali	0
süpürme süresi çekiş gücü hersey'imle mükemmel fiyat tabii	1
özenle paketlenmiş hızlı teslimat teşekkürler	1
ürünü öncesinde alt versiyonunu deneyip aldım fırçalı başlıkla halının ruhunu söküyor resmen bol aparatı eşim evdeki emektar süpürgeyi anında kenara attı eksikleri yok değil öncelikle ürün eş değer başka markalara kıyasla ağır uzun süreli kullanımda yoruyor askı aparatı çok yetersiz sadece ana gövdeye bağlı ekipmanı asabiliyorsunuz aparatları başka yerde saklamanız lazım toz haznesini temizlemek gövdeden ayırmanız lazım en ucuz versiyonlarında sadece kapak ayırmadan halledebiliyorsunuz süpürgeyi seçmemdeki nedenim yüksek güç 25v kapasite olması	0
ürün çok güzel çekim gayet iyi de artı tavsiye ederim 5 yıldızlık ürün garanti belgesini göndermemişsiniz yıldız kırdım gönderirseniz sevinirim teşekkürler philips güzel ürün çıkardığı tavsiye üzerine aldım tavsiye ederim	1
ürün iyi amazon sitesinde fatura sıkıntısı sitelerde ürün teslim edilmeden faturasını gönderiyorlar amazonda faturasını 1 hafta göndereceklerini söylediler ürünü philips sitesinde kaydedip 5 yıl motor garantisi almak fatura lazım	1
ürün güzel kaliteli yanlış kalın yüzeyli halı süpürürken üzerindeki başlığı çok zor oluyor süpürülmüyor	1
yaklaşık 12 saatte sorunsuz geldiüründe sıkıntı yok günlük kullanım idealdir yıldızı aldıktan fiyatı düştüğü kestim400 il farkı hesabıma tanırsınız ümit ediyorum	1
ürün güzel fatura elime ulaşmadı	1
plastik tuşlar dikkatli kullanmak lazım çok çabuk kırılıyor	1
elektrik süpürgesi olarak çok iyi türlü beklentinizi karşılıyor silme fonksiyonu tır yerleri sileceğim alırsanız hayal kırıklığı yaşarsınız	1
genel olarak çok memnun kaldım tek kötü tarafı parkede su lekesi kalıyor	0
ürünü başka pahalı marka alan arkadaşım önerdi annesine philip almış onda deneyince onca parayı verdim mutlaka al dedi kaliteli güvendiğim marka arkadaşımın annesinde kullandım gerek yok yoruma yıldızlar bol bol olsun iki varsın philipskargodaki özensiz paketlemeden yıldızım düştü kargo hızı şahane yalnız	1
hortum ilk kullanımda çıktı hızlı yapıştırıcı yapıştırdım anda sorun yok kullanımı kolay herhangi sıkıntı yaşatacağını düşünmüyorum emiş gücü güzel ses seviyesi 1. kademede az değil aşırı rahatsız edici değil kademeler bence gürültülü	0
ürün çok i̇yi̇ i̇ş görüyor kisa sürede eli̇mi̇z ayağimiz oldu vaki̇tli̇ vaki̇tsi̇z hemen çaliştirip etrafi temi̇zli̇yoruz ürünü kötülemek i̇stemi̇yorum amaböyle bi̇r markanin güzel bi̇r ürününde kullanilan uzatma borusunun uzatma geçi̇ş plasti̇ği̇ nasil kirilir anlamak mümkün deği̇l düşürme vs i̇le kullanicinin yapacaği bi̇rzarar deği̇l di̇rek süpürgeyi̇ kullanirken yapilan i̇leri̇ geri̇ hareketlerden dolayi olan bi̇r hasar bakalim garanti̇ süresi̇ i̇çi̇nde şi̇kayeti̇mi̇ mai̇l attim i̇lgi̇leceklermi̇ göreceği̇z	0
genel olarak memnunum süpürge sapının bağlantı kilitleri maalesef kaliteli değil üstelik parçalar garanti kapsamında değil süpürge sert plastikten imal edildiğinden temizlerken dikkat edilmeli kırılmaya çok müsait	0
güzel beğendim keşke bataryası ayrı şarj edile bilseydi	1
cihaz supurger olarak harika meb bekleyince su sildiriyor	1
almanızı tavsiye ederim ağırlığı normal sılmesı supurmesı harika kendime aldım adımdı krdesım annemde sıparıs ettik	1
kutusundan çıkarıp hemen kullandım şarjı bittikten tekrar şarj olmadı kullanamadım servise götürdüm aksilik 5 yaşındaki çocuğum kutusunu garanti belgesiyle birlikte kapıcıya verdi iade edecektim	0
yıllık kullanım sonunda borunun plastik bağlantısı kırıldı herhangi zorlamaya maruz kalmadı ürün genel olarak kullanışlı rahat	1
canavar çekiyor fiyatına göre harika bu ürün	1
ürünün boru butonu kırık çıktı uyguna aldığımız iade etmedik servisten orijinal parçayı temin ettik kuru başlık yünlü kalın halıları çekmek pek mümkün değil eğer kilim yolluk tarzı halıların sorunsuz şekilde çekebilirsiniz islak başlık süpürürken silme olayı gerçekten çok güzel kolaylık çok sulu siliyordu çözümü suyun beze geldiği deliklere peçete koyarak bulduk böylelikle ıslaklık ayarını kendimiz sağlamış olduk an çok memnunuz	1
yeni aldık ürün kalitesi çekim gücü zayıf az tüylü halılarda kir toz bırakıyor tekrar yeniden çekmek gerekiyor ürünü iade ettik ürün ilk elimize aldığımızdaki malzeme kalitesi iyi intiba vermiyor plastikler çok kötü sanki philip ürünü değilmiş rodi'mi kullandım malzeme tasarım çekim gücü çok iyiydi onda başlık kırılması sorunu teknik servis yetersizliği fiyat ürünün yarısı dikkatli kullandığımız halde 6-7 ayda başlık hortumu kırılıyor garanti dışı parçalar başlık komple satılıyor sanki parçalar özellikle kırılsın yedek parça satalım modelinde yapılmış ürünler	0
üründen birbirine yakın zamanlarda 3 adet aldım plastik kısımları çok kalitesiz sürekli kırılıyor 3 süpürge toplamda 6 kere plastik değişimi yapıldı garanti kapsamına alınmadı kesinlikle alınmamalı	0
ürün ilgili olumlu olumsuz yorumlar ürünü çeyiz aldık açıp inceledik kullanma şansımız şimdilik olmayacak aksesuarı mecburen kutusunda muhafaza edeceksiniz yorumlarda paraların çok çabuk kırıldığını parçaların paraların motor hariç aksesuara girdiğini yüzden garantiye girmediğini yazıyor ürün çok kısa zamanda teslim oldu aldım gün fiyatı 250 tl düştü buda insanı üzüyor insana adaletli gelmiyor	1
ürün hızlıca ulaştı sevindirici kutunun açılmadığından içinden ürün alınmadığından emin olamadım ince bu plastikle sarılmış yırtılmıştı temizlik çekiş gücü tatmin edici	1
