product_id,comment_id,comment  
1,0,Bilerek 5 Yıldız veriyorum yorumum öne çıkması Pişirme kağıdından 4 paket sipariş vermeme sadece 1 paket gönderildi kargo poşetindeki etikette 4 paket yazıyor rencide görseldeki kahverengi değil beyaz satıcıdan 3 paketimizde gönderilmesini istedim göre iade edeceğim  
1,1,Güzel  
1,2,Yıldızlara aldanmayın görünmesi içindi özellikle sipariş ederken kontrol ettim kahverengi yazıyor beyaz olarak geldi kağıdı çok ince pakette düzleşerek geldi kullan at olduğundan iadeyle uğraşamıycam 👎 😒
1,3,Ürün güzel paketlenmiş geldi Ankara radon Sati'cisinden satın aldım tek iyi paketleyen sarı olan satıcıdan de sert plastik kutusu geliyor Xiaomi uyumlu beğendim  
1,4,Üstte olan yıldız veriyorum kare istedim yuvarlak gelmiş ufacık şaka gibisiniz  
1,5,Kahverengi kare gelmedi beyaz kare yuvarlak kahverengi geldi Xiaomi airfrey kullanacağım  
1,6,Xiaomi alt airfryer aldım çok güzel oldu kullanışlı ürün çok hızlı kargolandı  
1,7,Güzel paketleme hızlı teslimat Teşekkürler  
1,8,Kare sipariş ettim yuvarlak göndermişsiniz  
1,9,beyaz kağıt göndermişler malzeme kalitesi çok kötü kalın ayrıca yerlerden düzgün kesilmediği birbirine yapışık para vermeye değmez  
1,10,Gerkcekteb kare sekilde geldi çok ince komple yazlamama rağmen yapisiyor Ayıklayana hiç kullanmamsa donuyor Pek faydalı bur urun değil  
1,11,Kare olanından sipariş verdim yuvarlak geldi Yuvarlak istesem sipariş veririm satıcı çok dikkatsiz  
1,12,Ürün fotoğrafıyla alakasız yuvarlak ürün geldi Paketleme özensiz İadeyle uğraşmak istemedim Muhtemelen satıcı kimsenin iadeyle uğraşmayacağını düşündüğü ürün gönderiyor  
1,13,Ürün köşeli değil yuvarlak geldi Hepsiburada taahhüt ettiği ürünü yollamayan firmalara kesinlikle yaptırımda bulunmalı  
1,14,Beyaz geldi ürün zaman oraya beyaz fotoğraf koyunki göre alalım yanıltmaca  
1,15,Ürün kalite olarak çok düşük tavsiye etmiyorum ürün et ve ürünlerde yapışma yapmakta önceki farklı markadan aldııgm airfryer altlını hız yapılma yapmamaktaydı  
1,16,6 litrelik airfry anca zemini kapattı beyaz kağıt geldi patates denedim güzelce yağlamış olmama yapıştı  
1,17,Urun elime ulaşmadı Şikayet talebi oluşturmama Ulaştı gözüküyor  
1,18,BERBAT BİR ÜRÜN İLANDA GÖZÜKTÜĞÜ GİBİ KARE DEĞİL YUVARLAK OLANLARDAN GELDİ PİŞİRSEM YAPIŞIYOR HİÇ BİR İŞE YARAMIYOR PARAM BOŞA GİTTİ  
1,19,Çok kullanışlı makina kirletmeden yemek yapabilir  
1,20,kahverengi geldi fiyatına göre iyi dayanıklı olanlar pahalı gerek yok yetiyor et kızarınca biraz yapışıyor onunda biraz yağlayarak çözdüm  
1,21,Airfry aldım şaşırılmayacak şekilde airfry kullanıyorum Biraz ufak ısıdan büzülen yapısı hayatta istediğimiz olmuyor  
1,22,airfrayer xx ürün çok küçük boy haberiniz olsun En ufak airfrayera anca olur Yanlarıyla beraber bizimkinin sadece altını kapattı Standart pişirme kapısının hazır katlanmış hali Uygun cihaz mükemmel bu çözüm Tavsiye ederim Paketi açmasaydım iade edecektim  
1,23,Ürün poşette geldi beyaz renk geldi görseldeki kahverengi gelmedi anlatıldığı kabında gelmedi çok ince kullanmadım umarım sorun çıkarmaz amacına hizmet eder Boyutu biraz küçük geldi FRİTÖZ PHİLİPS AİRFRYERE  
1,24,Milföy börek pişirmeye çalıştım ürünle alttaki hava akışını kapattığı üstü pişti altları pişmedi normalde çok güzel olurdu hava fritözü birşey serelim içine üründe değil sorun kendime kızdımçok güzel sprey yağ çözücüler alıp seferinde temizlemeye karar verdim  
1,25,Ürün paket almıştım iki paket gönderilmiş yanlışlık oldu hediye mi oldu bilmiyorum hata varsa geri yollamak gerekiyor ulaşın lütfen  
1,26,kahve rengi yazıyor beyaz geliyor bence sorun yok fiyata piyasada yok yağı alta geçirmiyor kaliteli mi airfyer 35 tam uyumlu kova şeklini alıyor kağıt tavsiye ederim  
1,27,Şekli bozulmadan zamanında gönderildiBen küçük borcam kek kalıbım aldım  
1,28,Ürün kullanışlı kullanmıştım bittiği aldım Airfryerın haznesi biraz temiz kalıyor pişirme süresini etkilemiyor bence Yağlı kağıt değil bunlar ltlik kullanıyorum Satıcıya yuvarlak göndermeyin notu ilettiğim halde yuvarlak kesim göndermiş paket çok kötüydü kağıtları kırışık halde Neyseki yırtılan olmamış derinliği gitmiş dümdüz olarak geldi satıcıdan almanızı tavsiye etmiyorum  
1,29,Merhabalar rengi krem rengi geldi pek yağlı kağıtlar değil ince 40 tiye aldım fiyat performans ürünü uyguna alabılırdım kargoyalama zamanında yapıldı be güzeldi  
1,30,Tamanlamiyla fiyasko Bildiğimiz ince fırın kağıdı Resimle alakasiyok Kare sipariş ettim Oval göndermiş satıcı  
1,31,Umduğum çıkmadı gazete kağıdı  
1,32,Kullanmış olduğum bir fay uygun görseldeki geldi sadece biraz ezilmiş elimle düzeltince sorun olmadı  
1,33,Korunaklı gelmediği bükülmüş dışında kullanışlı  
1,34,ürün kargodan yamulmuş şekilde geldi kenarları uzun bekliyordum iş görür  
