text	sentiment_category
gerçekten çok güzel	1
i̇ndirimde ye aldım i̇nfluencer hesapların çoğunda görmüştüm heves etmiştim beğendim hissiyatı güzel model olarak kırışık yüzden ütülemeye gerek kalmıyor aldığımda yastık yüzünde küçük leke vardı tur 30 derecede yıkadım leke çıkmadı elimde biraz lekeyi çitileyip sadece yastık yüzünü 40 derecede yıkadım talimatlarda 40 derece uygun diyor rengi yıkanan parçalara göre ton koyu oldu umarım dahaki sefere aynı derecede yıkayınca renkler eşitlenir sağdaki yastık 40 ta yıkanan	0
bayıldım kumasına çok güzel	1
cevizim aldım kumaşı kaliteli çok güzel	1
i̇ş yerime sipariş verdim 5 kişi inceledik gelince merak ediyordu kumaşı yumuşacık dokununca keten görüntü olarak çok çok güzel teşekkürler	1
bayıldım çok güzel beklediğimden çok iyi geldi cevizim almıştım bayıldım	1
güzel parça çok beğenerek aldım çeyizime çok severek kullanacağım	1
çok beğendim bayıldım kargo hızlı sorunsuz geldi alın aldırın derim	1
çok güzel kaliteli yıkadım solma vs olmadı	1
rengini yenini dokusunu sevdim tavsiye ederim fiyatı biraz uygun olabilir	1
model olarak beğendim lekeli geldi iadeye uğraşmak istemediğim kalacak inşallah lekesi çıkar	1
yeri rengi kendisi şeyiyle mükemmel kesinlikle tavsiye ederim	1
çok istedim indirimde buldum iyisi rengi dokusu çok güzel	1
tek kelimeyle harika ürün gönül rahatlığıyla kalabilirsiniz özellikle pamuk dokusu geçmişe herşeyin pamuk dokuma olduğu doğal günlere götürüyor çok beğendim markayla devam edeceğim	1
çeyizim aldım çok güzel kumaşı denemek annemin yatağına serdim bayıldım	1
mayfair'i o onun önerisi aldım gerçekten kalitesi dokusu muazzam	1
ürün 1 gün elime ulaştı paketlenmesi güzel iyi almışım kumaşı çok iyi	1
harika bayıldım nevresimimi kullanmak istiyorum yumuşacık rengi	1
kullanmaya başlamadım arkadaşımda aynı modeli kullanıyormuş çok memnun olduğunu kumaşının çok iyi olduğunu belirtti	1
kalitesi gerçekten çok güzel paketleme hızlı kargo teşekkürler sadece görseldeki renginden biraz koyu rengi	1
aldı geldiği serdim çok guzell düğmeleri yıkanınca sıkıntı olur merak ediyorum	1
i̇lk defa markadan nevresim aldım bayıldım gerçekten çok kaliteli	1
markadan aldığım 2. ürün çok güzeller çeyizim aldım	1
çok güzel kaliteli çeyiz aldım	1
tam olarak görseldeki rengi çok hoş çok hızlı elime ulaştı teşekkürler	1
bayılarak aldım çok sevdim	1
güzel çok beğendim	1
kesinlikle bayıldım çok güzel	1
dokusu çok güzel pamuk keten çok kullanışlı	1
çok güzel bayıldım	1
üründe sorun yok olabilirdi kargo poşeti kesik atılmış hasarlı geldi dış iç poşetinde dikkat edilmeli	0
abartılıyor düşünmüştüm gelince anladım tek kelimeyle mükemmel takım çok kaliteli yakmıyor odamıza çok yakıştı :)	1
çok guzelll sorunsuz geldi kargom kullanmak sabırsızlanıyorum	1
çeyizime aldım yüzden açmadım çok hoş istediğim geldi teşekkür ederim	1
çok beğendim açıkçası tereddüt ederek almıştım aldıktansonra 200 tl zam geldi bu tane almadığıma pişman oldum açıkçası i̇ndirime girerse alırım	0
beğendim teşekkürler	1
çok beğendim modellerini indirim olduğunda almak istiyorum	1
i̇stediğim doğallıkta yalnız biraz geç geldi	0
çok beğendim çeyizime aldım kullanamadım beğendim	1
çeyiz aldım kumaşı kalitesi çok güzel çok beğendim	1
ürünün kumaşı güzel lekeli gönderilmiş olması hoşuma gitmedi umarım yıkayınca çıkar	1
ürünün kalitesi kumaşı dokusu çok çok iyi çarşafın lastikli olmasını tercih ederdim teşekkürler	1
begendigim nevresimim oldu gerçekten	1
i̇ndirime girince aldım gayet güzel beğendim	1
çok beğendim çeyizime aldım kullanamadım beğendim	1
ürünün kalitesi kumaşı dokusu çok çok iyi çarşafın lastikli olmasını tercih ederdim teşekkürler	1
çok güzel dokusu tavsiye ederim	1
bayıldım kesinlikle tavsiye ederim	1
çok kaliteli kalan	1
çok güzel gözüküyordu çok hızlı geldi	1
i̇ndirime girince aldım gayet güzel beğendim	1
kumaşı rengi mükemmel kesinlikle alınmalı	1
kalitesi mükemmel rengi dokusu vs kargolanma hızı çok iyiydi	1
kalitesi dokusu mevsime uyumu mükemmel ötesi	1
ürün muazzam güzel yumuşacık yüzde yüz pamuk tam fiyat performansı kesinlikle tavsiye ederim gören alsın mutlaka çok güzel kurdelelerle paketlenmiş olarak geldi	1
mustfaktayusufvar en önerisiyle aldım pişman olmayacağımı biliyordum kesinlikle tavsiye ederim çok güzel takım yeterli büyüklükte keten pamuk karışımı kumaş çok kaliteli	1
çok beğenerek kullanıyorum dokusu rengi beklentimi karşıladı i̇ndirimden aldım satıcıya Hepsiburada'da teşekkür ederim	1
uzun zamandır influence olmuştum almayı istiyordum gerçekten çok güzel şık	1
çokkk güzelle çeyizim almıştım kullanmadım dokusu çok güzel	1
çok çok güzel kaliteli paketlemesi yazık kötüydü direkt şeffaf pakete konulmuş sadece 1 puanı oradan kırıyorum	1
ürün genel olarak güzel indirimle 750 ye aldım yastık ta düğme ters dikilmişti düzelttim yerinde minik leke vardı çok göze çarpan bu yerde denildi yüzden 1 yıldız kirdim	0
pamuklu kaliteli ürün sorunsuz elime ulaştı	0
çok güzel çok tatlı göründüğü geldi	1
