word,polarity
ayva reçeli,0.0
gül reçeli,0.0
incir reçeli,0.0
iştah,0.0
iştahlı,0.478
iştahsız,-0.48
iştahsızlık,-0.512
kayısı reçeli,0.0
kayısı suyu,0.0
kısayol,0.0
mikrobiyolojik,0.0
minibüs,0.0
müsteşarlık,0.0
nevresim,0.0
neyzen,0.0
ofsayt,-0.502
portakal reçeli,0.0
postane,0.0
postahane,0.0
rekortmen,0.88
repo,0.0
sadrazam,0.488
vişne reçeli,0.0
vişne suyu,0.0
şeftali reçeli,0.0
şeftali suyu,0.0
amca,0.0
kıyma,0.0
boza,0.0
dayı,0.0
sipahi,0.0
tımarlı sipahi,0.0
yenge,0.0
ferman,0.88
tımar,0.88
dolmuş,0.0
elti,0.0
siftah,0.88
yer sofrası,0.478
arşın,0.0
tanbur,0.0
tambur,0.0
beylik,0.498
minber,0.0
ayran,0.88
takunya,0.0
nalın,0.0
leblebi,0.0
tellak,0.0
simit,0.0
ibrişim,0.0
yenge,0.0
içgüveysi,-0.5
iç güveysi,-0.5
içgüveyi,-0.5
iç güveyi,-0.5
aşure,0.0
sac,0.0
saç,0.0
yenge,0.0
kaymakam,0.88
şerbet,0.0
pide,0.0
Ramazan pidesi,0.0
beyaz peynir,0.0
işkembe çorbası,0.0
kaşar peyniri,0.0
kaşar,0.0
tahin helvası,0.0
kahve,0.0
kahvehane,0.0
görümce,0.0
cacık,0.0
mezra,-0.48
türban,0.0
kağıt helva,0.0
kağıt helvası,0.0
kavurma,0.0
tarhana,0.0
sucuk,0.0
enişte,0.0
bozacı,0.0
il,0.0
vilayet,0.0
köşk,0.0
konak,0.0
bacanak,0.0
kayınço,0.0
kayınbirader,0.0
kayın birader,0.0
zurna,0.0
baldız,0.0
kadayıf,0.0
darbuka,0.0
kokoreç,0.0
kasap havası,0.0
düven,0.0
döven,0.0
acıbadem,0.0
acıbadem kurabiyesi,0.0
okka,0.0
kıyye,0.0
mescit,0.0
beyaz leblebi,0.0
tulum,0.0
pekmez,0.0
karışık pide,0.0
keşkül,0.0
lohusa,-0.522
loğusa,-0.522
rakı,0.0
kemençe,0.0
deniz otobüsü,0.0
telkari,0.0
simitçi,0.0
tarhana çorbası,0.0
gözleme,0.0
Mevlevi,0.0
kuşbaşılı pide,0.0
tezhip,0.88
sahlep,0.0
salep,0.0
tahin pekmez,0.0
zeybek,0.0
nazar boncuğu,0.0
alaturka tuvalet,0.0
hellim,0.0
hellim peyniri,0.0
kaşarlı pide,0.0
çiftetelli,0.0
Sisam,0.0
Bozcaada,0.0
ud,0.0
ut,0.0
Gökçeada,0.0
ihram,0.0
ney,0.0
kavurmalı pide,0.0
İstanköy,0.0
Kos,0.0
yazma,0.0
üvendire,0.0
sucuklu pide,0.0
pestil,0.0
vapur,0.0
şehir hatları vapuru,0.0
sucuk,0.0
yazma,0.0
bağlama,0.0
mintan,0.0
şehzade,0.88
çiğ köfte,0.0
çiğköfte,0.0
imece,0.0
amcaoğlu,0.0
emmioğlu,0.0
dayıoğlu,0.0
türkü,0.0
kirve,0.0
yatsı ezanı,0.0
minibüs,0.0
dolmuş,0.0
Nurcu,0.0
gül şerbeti,0.0
imam nikahı,0.0
Nakşibendilik,0.0
cuma namazı,0.498
lahmacun,0.0
muvakkit,0.0
tarikat,0.88
kabul günü,0.0
çatal,0.0
pekmezi,0.0
su böreği,0.0
suböreği,0.0
abdest,0.88
aptes,0.88
peynirli pide,0.0
üzüm pekmezi,0.0
külliye,0.0
kispet,0.0
şekerpare,0.0
Kemalizm,0.0
Atatürkçülük,0.0
alinazik,0.0
sahur,0.0
sahur vakti,0.0
Danıştay,0.0
meyan şerbeti,0.0
teyze,0.0
dil peyniri,0.0
cariye,-0.482
elma pekmezi,0.0
mantı,0.0
kayınço,0.0
kayınbirader,0.0
kayın birader,0.0
pide,0.0
anneanne,0.0
ezan,0.0
nar pekmezi,0.0
un helvası,0.0
beyti,0.0
beyti kebap,0.0
sarma beyti,0.0
aktar,0.0
attar,0.0
Sayıştay,0.0
MGK,0.0
Milli Güvenlik Kurulu,0.0
Nakşibendi,0.0
iade-i ziyaret,0.0
peşrev,0.0
gönül,0.88
peribacası,0.0
peri bacası,0.0
Kemalist,0.0
Atatürkçü,0.0
ikindi namazı,0.0
Hicri Yılbaşı,0.0
Müslümanlıkta dini gün,0.0
hutbe,0.0
vaaz,0.0
öğle ezanı,0.0
Umre,0.0
alafranga tuvalet,0.0
