word,tone
0 şarj geldi,0.990629255771637
0 şarj geldi,0.990629255771637
1 ay,-0.6379444599151611
1 ay,-0.6379444599151611
1 ayda bozuldu,-0.9974268078804016
1 ayda bozuldu,-0.997426807880401
1 aydır kullanıyorum,0.9939197301864624
1 aydır kullanıyorum,0.9939197301864624
1 gün,-0.6955662965774536
1 gün içerisinde,0.9408607482910156
1 gün içerisinde,0.9408607482910156
1 gün,-0.6955662965774536
1 günde,0.8489840626716614
1 günde geldi,0.9924969673156738
1 günde geldi,0.9924969673156738
1 günde teslim,0.991933047771454
1 günde teslim,0.991933047771454
1 günde,0.8489840626716614
1 günden az,-0.8032811284065247
1 günden az,-0.8032811284065247
1 hafta,-0.4902566969394684
1 hafta boyunca,0.0
1 hafta boyunca,0.0
1 hafta,-0.4902566969394684
1 numara büyük,0.989927351474762
1 numara büyük,0.989927351474762
1 puan kırdım,0.0
1 puan kırdım,0.0
1 senedir kullanıyorum,0.9942910671234132
1 senedir kullanıyorum,0.9942910671234132
1 yıldız kırdım,0.3397755026817322
1 yıldız kırdım,0.3397755026817322
15 gün,0.5197985768318176
15 gün,0.5197985768318176
2 adet aldım,0.9414958953857422
2 adet aldım,0.9414958953857422
2 adet aldığım,0.9176692962646484
2 adet aldığım,0.9176692962646484
2 adet sipariş,0.9504420161247252
2 adet sipariş,0.9504420161247252
2 ay oldu,0.0
2 ay oldu,0.0
2 bin il,0.0
2 bin il,0.0
2 gün,-0.6456618905067444
2 gün oldu,0.5802191495895386
2 gün oldu,0.5802191495895386
2 gün,-0.6456618905067444
2 kere,-0.4855704307556152
2 kere,-0.4855704307556152
2 tane aldım,0.8810189962387085
2 tane aldım,0.8810189962387085
2 yıl garantili,0.9864288568496704
2 yıl garantili,0.9864288568496704
2 yıldız verdim,0.9856736063957214
2 yıldız verdim,0.9856736063957214
24 saat,0.9290238618850708
24 saat,0.9290238618850708
3 gün,-0.5247247815132141
3 gün geç,0.0
3 gün geç,0.0
3 gün,-0.5247247815132141
3 yıldız veriyorum,0.9799365997314452
3 yıldız veriyorum,0.9799365997314452
45 saat sıcak,-0.6297122240066528
45 saat sıcak,-0.6297122240066528
5 yıldız,0.9895365238189696
5 yıldız,0.9895365238189696
6 ay,0.5091809630393982
6 ay,0.5091809630393982
6 gün sürdü,0.0
6 gün sürdü,0.0
7 saat sıcak,0.8663725256919861
7 saat sıcak,0.8663725256919861
a vitamini,-0.125
ab-ı dîde,-0.04
aba,-0.057634233
abacı,0.093337439
abadan,0.185150267
abadi,0.304247439
abajur,0.289147439
abalabut,-0.119054627
aban,0.072467439
abandone olmak,-0.028290348
abanma,-0.210049831
abanmak,0.036898144
abanoz,-0.01703549
abart,0.058897439
abartma,0.232663216
abartmacı,-0.145840095
abartmadan,0.786517439
abartmak,0.384865854
abartmalı,-0.429878593
abartmasız,0.786517439
abartı,0.14497219
abartıcı,-0.134851088
abartılmamış,0.786517439
abartılması,0.411517439
abartılmış,0.067502394
abartılı,-0.127626489
abartırız,0.661517439
abartısız,0.786517439
abasıyanık,-0.20794154
abasızlık,-0.284204847
abat,-0.063479
abat etmek,0.286517439
abat eylemek,0.286517439
abayı yakmak,0.244799502
abazanlık,0.286517439
abaşo,0.286517439
abbağ,0.209721871
abd,-0.22313
abdal,0.114053333
abdan,0.225009272
abdesli,0.28879681
abdest,0.217377439
abdestan,0.217377439
abdestbozan,0.182347439
abdesthane,0.171618981
abdias,-0.16667
abdlik,-0.625
abece,0.149239438
abecesel,0.143357439
abes,0.036719322
abesiyet,-0.09578921
abeslik,-0.094344895
abher,0.092055
abi,-0.302445144
abidance,0.377427439
abide,0.149481939
abidevi,0.145859619
abis,0.104507439
abiye,0.574027439
abiyotrofi,-0.25
abla,-0.032170649
ablacı,0.045263961
ablasyon,-0.125
ablatif,0.244847439
ablefaron,0.536517439
abluka,-0.09
abluka etmek,-0.017687524
abluka çekmek,0.072277554
ablukaya almak,-0.014327406
abnormalite,0.409661461
abokat,-0.362563517
abone,0.044924215
abra,0.695207439
abraş,-0.125730612
abreaksiyon,0.411517439
abril,-0.05701
abrul,-0.05701
abrıl,-0.05701
absorbanlar,0.536517439
absorbe,-0.282113221
absorbe etmek,-0.034528072
absorpsiyon,-0.07653
abstre,0.187524657
absürt,0.171307439
abu,0.072517439
abuk,-0.25
abuk sabuk,-0.001059009
abuk sabukluk,-0.172711133
abuk subukluk,-0.100560746
abuklamak,-0.04167
abuli,-0.125
abullabut,-0.380834433
abur,0.159607439
abur cubur,0.221802666
abus,-0.001199982
abuş,0.104507439
abınç,-0.1553
abız,0.226294734
abış,0.104507439
abışka,0.286517439
acaba,0.426811439
acaip,-0.030742249
acaiplik,0.107262277
acar,0.088472491
acardia,-0.5
acayip,0.037564412
acayiplik,-0.12285198
accurse,-0.125
acele,-0.008527331
acele acele,-0.05033848
acele aile,-0.25
acele etmek,0.088670987
aceleci,-0.099554456
aceleci kişi,-0.25
acelecilik,-0.151228564
aceleciliği,-0.125
aceleyle,0.161517439
acemi,-0.113375847
acemi pilot,-0.08333
acemi ressam,-0.125
acemi çaylak,0.047732632
acemice,0.183922706
acemicesine,0.202426989
acemileşmek,-0.235701722
acemilik,-0.068322384
acemilik çekmek,-0.235701722
acenta,-0.006829986
acente,0.239567439
acep,-0.050274
aceze,-0.077600246
acibe,0.0930875
acil,-0.066139126
acil iniş,-0.125
acil servis,0.161517439
acil tıp teknisyeni,0.161517439
acilen,0.092858621
acillik,0.119847439
acip,0.09162842
aciz,-0.256154931
acizane,0.161517439
acizler,0.156963252
acizlik,-0.141085869
acul,-0.329036323
aculluk,-0.170364583
acun,0.081816641
acur,0.322788804
acurlu,-0.23864
acuze,0.167537667
acyocu,-0.082725901
acz içinde olmak,-0.317462801
acür,0.105471855
acı,-0.198114428
acı acı,0.286517439
acı aloes,0.161517439
acı biber,-0.04167
acı biber sosu,-0.03409
acı hissi,-0.75
acı konuşmak,0.286517439
acı limon,-0.125
acı marul,-0.125
acı sonu,-0.41667
acı tuzlar,-0.125
acı ve ince ses,-0.19444
acı veren,-0.6875
acı yitimi,-0.75
acı çeken,-0.291983269
acı çekmek,-0.351059159
acı çikolata,0.280547439
acı çığlık,-0.187952863
acık,-0.206858068
acıklı,-0.253762611
acıklı komedi,0.316817439
acıklı olay,0.246517439
acıklı olma,-0.875
acıklı safsata,-0.375
acıkmak,-0.04057599
acılan,-0.125
acılandırmak,-0.153861722
acılanmak,-0.118383118
acılaştırmak,-0.20833
acılı,-0.309947826
acılık,-0.268825481
acılır,-0.375
acılığın,-0.5
acıma,0.641123095
acımak,-0.034546786
acımamak,0.04394704
acıması olan,-0.75
acımasız,-0.241220223
acımasızca,0.08650309
acımasızcasına,0.123142664
acımasızlık,-0.483530617
acımaz,-0.193170889
acımtırak,-0.145809481
acımış,-0.54167
acınacak,-0.217568236
acınacak halde,0.286517439
acınan,-0.125
acınarak,-0.125
acınası,0.536517439
acındırmak,-0.153145511
acındırıcı,0.22663055
acınma,-0.267297918
acınmak,-0.096699917
acısını,0.228899321
acısını arttırmak,-0.355671873
acısını fazlalaştırmak,-0.355671873
acısını çekmek,-0.040647267
acısız,-0.037842949
acıtmak,-0.098827076
acıyan,-0.75
acıyı,-0.575312709
ad,0.068372228
ad etiketi,0.161517439
ad koyma,-0.2945
ad koymak,-0.2945
ad çekme,0.114537439
ada,-0.116903887
ada dağıtıcı,0.161517439
ada çayı,0.170357439
adabı muaşeret,-0.42932864
adabımuaşeret,-0.020330425
adaciyo,-0.02083
adak,0.149995535
adaklı,0.084207439
adaktil,-0.125
adaktili,-0.5
adalan,0.232369436
adalarda,-0.25
adaldı,0.232092524
adale,-0.3230066
adaleli,0.387416636
adalet,0.172454336
adalet sarayı,-0.58918
adalet yapmak,0.161517439
adaletli,0.198981161
adaletsiz,-0.240971817
adaletsizce,0.286517439
adaletsizlik,-0.070095558
adali,0.354477439
adalmış,0.232092524
adalî,0.284771606
adalır,0.225013952
adam,0.136030102
adam cuma,0.411517439
adam düşmek,0.411517439
adam eti yemek,-0.20442685
adam etmek,0.081967439
adam içine çıkamamak,0.04806775
adam işçisi,-0.125
adam kayırma,0.411517439
adam öldürme,-0.13314756
adamak,0.111182995
adamakıllı,0.203615195
adamakılı,0.083126137
adamca,0.322201072
adamcasına,0.323448686
adamcağız,-0.125
adamcık,-0.125
adamcıl,0.106749382
adamet,0.08987174
adamlı,-0.75
adamlık,-0.119893177
adamsendeci,-0.063671973
adamsendecilik,-0.256705617
adamsız,-0.174814259
adamı,-0.199862012
adanmış,0.084207439
adanır,0.225013952
adap,0.160862177
adaptasyon,0.283374902
adapte,0.165485227
adapte etmek,0.219379449
adaptif,0.286517439
adaptör,0.141817439
adaptör almak zorunda,-0.698154628276825
adaptör almak zorunda,-0.698154628276825
adar shenita,0.286517439
adavet,0.048119998
aday,0.211910939
adaylı,-0.625
adaçayı,0.170357439
adaş,0.411517439
addet,-0.04334
adeden,0.050408566
adedi,0.17806613
adedî,0.143269252
adele,-0.0777793
adem,-0.010176828
adem baba,-0.261293359
adem baba gibi,-0.096900517
adem-i nef'i,-0.061912138
adem-i riâyet,-0.25
ademi tediye,0.078187439
ademimerkeziyet,-0.31033
ademoğlu,0.151939913
aden,0.173815994
adenilasit asit,0.161517439
adenokarsinom,-0.125
adenomiyosarkom,-0.125
adenomyozis,-0.25
adenopati,0.161517439
adeptness,0.536517439
adermin,0.161517439
adese,-0.406127291
adet,-0.071750984
adet aldım,0.9836867451667786
adet aldım,0.9836867451667786
adet aldığım ürünün,0.8298255801200867
adet aldığım ürünün,0.8298255801200867
adet ara,0.161517439
adet sipariş verdim,0.9733253121376038
adet sipariş verdim,0.9733253121376038
adet yokluğu,-0.625
adeta,-0.035491937
adetçe,0.057447518
adi,-0.292397898
adibatik,-0.375
adice,0.411517439
adil,0.212887701
adil bir şans,-0.125
adil duruşma,-0.625
adil fikirlilik,0.161517439
adil hava,0.661517439
adil kopya,-0.125
adil olma,0.286517439
adilane,0.286517439
adileşmek,-0.097847123
adileştirme,-0.08333
adilik,-0.100565377
adinamik,-0.58333
adipik asit,-0.125
adiyen,-0.053893738
adjuvan,-0.20455
adlan,-0.13778
adlandırma,0.373289401
adlar kümesi,0.161517439
adli,-0.25
adliye,-0.58918
adlı,0.224854814
adrenalin,0.161517439
adrenaline,0.161517439
adrenerjik,0.286517439
adrenerjik ilaç,0.286517439
adres,-0.019777552
adresle,-0.01347
